Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
6.24809	-20.4176	-0.0409625
6.24809	-20.4157	-0.0409803
6.24809	-20.4139	-0.0409981
6.24809	-20.412	-0.0410159
6.2481	-20.4101	-0.0410337
6.2481	-20.4083	-0.0410515
6.2481	-20.4064	-0.0410694
6.2481	-20.4045	-0.0410872
6.2481	-20.4026	-0.0411051
6.2481	-20.4008	-0.041123
6.2481	-20.3989	-0.0411409
6.2481	-20.397	-0.0411588
6.2481	-20.3951	-0.0411767
6.2481	-20.3933	-0.0411946
6.2481	-20.3914	-0.0412125
6.2481	-20.3895	-0.0412305
6.2481	-20.3876	-0.0412484
6.2481	-20.3858	-0.0412664
6.2481	-20.3839	-0.0412844
6.2481	-20.382	-0.0413024
6.2481	-20.3801	-0.0413204
6.2481	-20.3783	-0.0413384
6.2481	-20.3764	-0.0413565
6.2481	-20.3745	-0.0413745
6.2481	-20.3726	-0.0413926
6.2481	-20.3707	-0.0414107
6.2481	-20.3689	-0.0414288
6.2481	-20.367	-0.0414469
6.2481	-20.3651	-0.041465
6.24811	-20.3632	-0.0414831
6.24811	-20.3613	-0.0415012
6.24811	-20.3594	-0.0415194
6.24811	-20.3576	-0.0415376
6.24811	-20.3557	-0.0415557
6.24811	-20.3538	-0.0415739
6.24811	-20.3519	-0.0415921
6.24811	-20.35	-0.0416103
6.24811	-20.3481	-0.0416286
6.24811	-20.3462	-0.0416468
6.24811	-20.3443	-0.0416651
6.24811	-20.3425	-0.0416833
6.24811	-20.3406	-0.0417016
6.24811	-20.3387	-0.0417199
6.24811	-20.3368	-0.0417382
6.24811	-20.3349	-0.0417565
6.24811	-20.333	-0.0417748
6.24811	-20.3311	-0.0417932
6.24811	-20.3292	-0.0418115
6.24811	-20.3273	-0.0418299
6.24811	-20.3254	-0.0418483
6.24811	-20.3236	-0.0418667
6.24811	-20.3217	-0.0418851
6.24811	-20.3198	-0.0419035
6.24811	-20.3179	-0.0419219
6.24812	-20.316	-0.0419404
6.24812	-20.3141	-0.0419588
6.24812	-20.3122	-0.0419773
6.24812	-20.3103	-0.0419958
6.24812	-20.3084	-0.0420143
6.24812	-20.3065	-0.0420328
6.24812	-20.3046	-0.0420513
6.24812	-20.3027	-0.0420698
6.24812	-20.3008	-0.0420884
6.24812	-20.2989	-0.0421069
6.24812	-20.297	-0.0421255
6.24812	-20.2951	-0.0421441
6.24812	-20.2932	-0.0421627
6.24812	-20.2913	-0.0421813
6.24812	-20.2894	-0.0421999
6.24812	-20.2875	-0.0422186
6.24812	-20.2856	-0.0422372
6.24812	-20.2837	-0.0422559
6.24812	-20.2818	-0.0422746
6.24812	-20.2799	-0.0422933
6.24812	-20.278	-0.042312
6.24812	-20.2761	-0.0423307
6.24812	-20.2742	-0.0423494
6.24812	-20.2723	-0.0423682
6.24812	-20.2704	-0.0423869
6.24813	-20.2684	-0.0424057
6.24813	-20.2665	-0.0424245
6.24813	-20.2646	-0.0424433
6.24813	-20.2627	-0.0424621
6.24813	-20.2608	-0.0424809
6.24813	-20.2589	-0.0424997
6.24813	-20.257	-0.0425186
6.24813	-20.2551	-0.0425375
6.24813	-20.2532	-0.0425563
6.24813	-20.2513	-0.0425752
6.24813	-20.2493	-0.0425941
6.24813	-20.2474	-0.042613
6.24813	-20.2455	-0.042632
6.24813	-20.2436	-0.0426509
6.24813	-20.2417	-0.0426699
6.24813	-20.2398	-0.0426888
6.24813	-20.2379	-0.0427078
6.24813	-20.2359	-0.0427268
6.24813	-20.234	-0.0427458
6.24813	-20.2321	-0.0427648
6.24813	-20.2302	-0.0427839
6.24813	-20.2283	-0.0428029
6.24813	-20.2264	-0.042822
6.24813	-20.2244	-0.0428411
6.24813	-20.2225	-0.0428602
6.24814	-20.2206	-0.0428793
6.24814	-20.2187	-0.0428984
6.24814	-20.2168	-0.0429175
6.24814	-20.2148	-0.0429367
6.24814	-20.2129	-0.0429558
6.24814	-20.211	-0.042975
6.24814	-20.2091	-0.0429942
6.24814	-20.2072	-0.0430134
6.24814	-20.2052	-0.0430326
6.24814	-20.2033	-0.0430518
6.24814	-20.2014	-0.043071
6.24814	-20.1995	-0.0430903
6.24814	-20.1975	-0.0431096
6.24814	-20.1956	-0.0431288
6.24814	-20.1937	-0.0431481
6.24814	-20.1918	-0.0431674
6.24814	-20.1898	-0.0431868
6.24814	-20.1879	-0.0432061
6.24814	-20.186	-0.0432255
6.24814	-20.184	-0.0432448
6.24814	-20.1821	-0.0432642
6.24814	-20.1802	-0.0432836
6.24814	-20.1783	-0.043303
6.24814	-20.1763	-0.0433224
6.24814	-20.1744	-0.0433418
6.24815	-20.1725	-0.0433613
6.24815	-20.1705	-0.0433807
6.24815	-20.1686	-0.0434002
6.24815	-20.1667	-0.0434197
6.24815	-20.1647	-0.0434392
6.24815	-20.1628	-0.0434587
6.24815	-20.1609	-0.0434782
6.24815	-20.1589	-0.0434978
6.24815	-20.157	-0.0435173
6.24815	-20.155	-0.0435369
6.24815	-20.1531	-0.0435565
6.24815	-20.1512	-0.0435761
6.24815	-20.1492	-0.0435957
6.24815	-20.1473	-0.0436153
6.24815	-20.1454	-0.043635
6.24815	-20.1434	-0.0436546
6.24815	-20.1415	-0.0436743
6.24815	-20.1395	-0.043694
6.24815	-20.1376	-0.0437137
6.24815	-20.1356	-0.0437334
6.24815	-20.1337	-0.0437531
6.24815	-20.1318	-0.0437729
6.24815	-20.1298	-0.0437926
6.24815	-20.1279	-0.0438124
6.24815	-20.1259	-0.0438322
6.24816	-20.124	-0.043852
6.24816	-20.122	-0.0438718
6.24816	-20.1201	-0.0438916
6.24816	-20.1182	-0.0439114
6.24816	-20.1162	-0.0439313
6.24816	-20.1143	-0.0439511
6.24816	-20.1123	-0.043971
6.24816	-20.1104	-0.0439909
6.24816	-20.1084	-0.0440108
6.24816	-20.1065	-0.0440308
6.24816	-20.1045	-0.0440507
6.24816	-20.1026	-0.0440706
