freq	dB(S(2,1))
5.55097009700971440E9	-1.84813516767678280E-4
5.55098009800981180E9	-1.84832372750644570E-4
5.55099009900991370E9	-1.84851237013543580E-4
5.55100010001001290E9	-1.84870109572769390E-4
5.55101010101011290E9	-1.84888990426393280E-4
5.55102010201021480E9	-1.84907879584058810E-4
5.55103010301031400E9	-1.84926777049623410E-4
5.55104010401041310E9	-1.84945682827908890E-4
5.55105010501051410E9	-1.84964596922772670E-4
5.55106010601061510E9	-1.84983519347715660E-4
5.55107010701071510E9	-1.85002450098880680E-4
5.55108010801081340E9	-1.85021389183982370E-4
5.55109010901091260E9	-1.85040336613628660E-4
5.55110011001101360E9	-1.85059292390712730E-4
5.55111011101111450E9	-1.85078256512341530E-4
5.55112011201121640E9	-1.85097229000695120E-4
5.55113011301131550E9	-1.85116209848058790E-4
5.55114011401141560E9	-1.85135199066004710E-4
5.55115011501151480E9	-1.85154196655497350E-4
5.55116011601161660E9	-1.85173202626180290E-4
5.55117011701171670E9	-1.85192216983839540E-4
5.55118011801181590E9	-1.85211239729439630E-4
5.55119011901191680E9	-1.85230270878410060E-4
5.55120012001201780E9	-1.85249310424964890E-4
5.55121012101211610E9	-1.85268358377783330E-4
5.55122012201221790E9	-1.85287414748437480E-4
5.55123012301231710E9	-1.85306479535963220E-4
5.55124012401241540E9	-1.85325552747110930E-4
5.55125012501251640E9	-1.85344634390559770E-4
5.55126012601261730E9	-1.85363724472095950E-4
5.55127012701271830E9	-1.85382822993648260E-4
5.55128012801281660E9	-1.85401929959074010E-4
5.55129012901291750E9	-1.85421045385731680E-4
5.55130013001301670E9	-1.85440169263013390E-4
5.55131013101311770E9	-1.85459301608277500E-4
5.55132013201321860E9	-1.85478442423452750E-4
5.55133013301331870E9	-1.85497591713360980E-4
5.55134013401341960E9	-1.85516749485716880E-4
5.55135013501351970E9	-1.85535915744378130E-4
5.55136013601361890E9	-1.85555090496095020E-4
5.55137013701371980E9	-1.85574273748582570E-4
5.55138013801381810E9	-1.85593465498947620E-4
5.55139013901391730E9	-1.85612665764548530E-4
5.55140014001401830E9	-1.85631874544421160E-4
5.55141014101411830E9	-1.85651091844351470E-4
5.55142014201421930E9	-1.85670317673018740E-4
5.55143014301432030E9	-1.85689552032351710E-4
5.55144014401442030E9	-1.85708794932958220E-4
5.55145014501452040E9	-1.85728046374838350E-4
5.55146014601462130E9	-1.85747306367635720E-4
5.55147014701472050E9	-1.85766574916172060E-4
5.55148014801481970E9	-1.85785852024304750E-4
5.55149014901491980E9	-1.85805137700713100E-4
5.55150015001502070E9	-1.85824431953111890E-4
5.55151015101512080E9	-1.85843734780536840E-4
5.55152015201522090E9	-1.85863046191667140E-4
5.55153015301532000E9	-1.85882366194217670E-4
5.55154015401542010E9	-1.85901694791081450E-4
5.55155015501552110E9	-1.85921031990937700E-4
5.55156015601562110E9	-1.85940377799572600E-4
5.55157015701572210E9	-1.85959732221807950E-4
5.55158015801582130E9	-1.85979095260536820E-4
5.55159015901592130E9	-1.85998466925402780E-4
5.55160016001602050E9	-1.86017847217370160E-4
5.55161016101612150E9	-1.86037236150904370E-4
5.55162016201622240E9	-1.86056633722147870E-4
5.55163016301632160E9	-1.86076039945566210E-4
5.55164016401642260E9	-1.86095454823087940E-4
5.55165016501652350E9	-1.86114878359534890E-4
5.55166016601662270E9	-1.86134310559729020E-4
5.55167016701672280E9	-1.86153751432349270E-4
5.55168016801682280E9	-1.86173200981253230E-4
5.55169016901692200E9	-1.86192659216084480E-4
5.55170017001702390E9	-1.86212126138771650E-4
5.55171017101712310E9	-1.86231601755100940E-4
5.55172017201722400E9	-1.86251086071822950E-4
5.55173017301732320E9	-1.86270579097616730E-4
5.55174017401742330E9	-1.86290080831518080E-4
5.55175017501752330E9	-1.86309591289920910E-4
5.55176017601762430E9	-1.86329110467039220E-4
5.55177017701772440E9	-1.86348638375409580E-4
5.55178017801782350E9	-1.86368175021782490E-4
