 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 10/28/2021 11:22:07
File Marker Date: 10/27/2021 16:23:57
PPC_Dim_will_be_squared = 51.0
read_gap = 8.0
read_line = 20.0
read_gap2 = 7.5
O_coupler = 12.0
Box_w = 250.0
R 50.00000
Frequency (GHz),DB[S11],ANG[S11],DB[S12],ANG[S12],DB[S21],ANG[S21],DB[S22],ANG[S22]
5.431554100000000,-0.338683211128,-168.9127039002,-11.24822513951,-78.57096475093,-11.24822513951,-78.57096475093,-0.338683210711,-168.2295169879
5.431554200000001,-0.337108291366,-168.9492273896,-11.26769057252,-78.60748776986,-11.26769057252,-78.60748776986,-0.337108290949,-168.2660401015
5.431554300000000,-0.335536602461,-168.9857644563,-11.28721052636,-78.64402436765,-11.28721052636,-78.64402436765,-0.335536602043,-168.3025767924
5.431554400000000,-0.333968148395,-169.0223150789,-11.30678525536,-78.68057451843,-11.30678525536,-78.68057451843,-0.333968147977,-168.3391270392
5.431554500000001,-0.332402933135,-169.0588792352,-11.32641501540,-78.71713819653,-11.32641501540,-78.71713819653,-0.332402932716,-168.3756908197
5.431554600000000,-0.330840959994,-169.0954569022,-11.34610006373,-78.75371539135,-11.34610006373,-78.75371539135,-0.330840959575,-168.4122681109
5.431554700000000,-0.329282233077,-169.1320480580,-11.36584066018,-78.79030607368,-11.36584066018,-78.79030607368,-0.329282232659,-168.4488588909
5.431554800000001,-0.327726756387,-169.1686526803,-11.38563706628,-78.82691021649,-11.38563706628,-78.82691021649,-0.327726755969,-168.4854631374
5.431554900000000,-0.326174533322,-169.2052707464,-11.40548954517,-78.86352780681,-11.40548954517,-78.86352780681,-0.326174532903,-168.5220808277
5.431555000000000,-0.324625567890,-169.2419022338,-11.42539836218,-78.90015881710,-11.42539836218,-78.90015881710,-0.324625567471,-168.5587119393
5.431555100000001,-0.323079864086,-169.2785471204,-11.44536378475,-78.93680322003,-11.44536378475,-78.93680322003,-0.323079863667,-168.5953564500
5.431555200000000,-0.321537425293,-169.3152053828,-11.46538608163,-78.97346100250,-11.46538608163,-78.97346100250,-0.321537424874,-168.6320143366
5.431555300000000,-0.319998255488,-169.3518769988,-11.48546552430,-79.01013213726,-11.48546552430,-79.01013213726,-0.319998255068,-168.6686855768
5.431555400000001,-0.318462358728,-169.3885619459,-11.50560238600,-79.04681659485,-11.50560238600,-79.04681659485,-0.318462358308,-168.7053701480
5.431555500000000,-0.316929738292,-169.4252602006,-11.52579694158,-79.08351436429,-11.52579694158,-79.08351436429,-0.316929737872,-168.7420680269
5.431555600000000,-0.315400398198,-169.4619717402,-11.54604946832,-79.12022541677,-11.54604946832,-79.12022541677,-0.315400397778,-168.7787791907
5.431555700000001,-0.313874342201,-169.4986965420,-11.56636024560,-79.15694972957,-11.56636024560,-79.15694972957,-0.313874341781,-168.8155036166
5.431555800000000,-0.312351573936,-169.5354345828,-11.58672955467,-79.19368728270,-11.58672955467,-79.19368728270,-0.312351573516,-168.8522412815
5.431555900000000,-0.310832097323,-169.5721858395,-11.60715767905,-79.23043804914,-11.60715767905,-79.23043804914,-0.310832096903,-168.8889921624
